maneuverability_ratio,ct,ang_mom
spinner$(0.1)$,0,0.003845
spinner$(0.1)$,0,0.140166
spinner$(0.1)$,0,0.112204
spinner$(0.1)$,0,0.110516
spinner$(0.1)$,0,0.034873
spinner$(0.1)$,0,0.114323
spinner$(0.1)$,0,0.058980
spinner$(0.1)$,0,0.147035
spinner$(0.1)$,0,0.077298
spinner$(0.1)$,0,0.080477
spinner$(0.1)$,0,0.090866
spinner$(0.1)$,0,0.088532
spinner$(0.1)$,0,0.085456
spinner$(0.1)$,0,0.078745
spinner$(0.1)$,0,0.098474
spinner$(0.1)$,0,0.066657
spinner$(0.1)$,0,0.032642
spinner$(0.1)$,0,0.136611
spinner$(0.1)$,0,0.140942
spinner$(0.1)$,0,0.122655
spinner$(0.1)$,0,0.105382
spinner$(0.1)$,0,0.074943
spinner$(0.1)$,0,0.185459
spinner$(0.1)$,0,0.096804
spinner$(0.1)$,0,0.076461
spinner$(0.1)$,0,0.094773
spinner$(0.1)$,0,0.181673
spinner$(0.1)$,0,0.131960
spinner$(0.1)$,0,0.141962
spinner$(0.1)$,0,0.131874
spinner$(0.1)$,0,0.174684
spinner$(0.1)$,0,0.138087
spinner$(0.1)$,0,0.021918
spinner$(0.1)$,0,0.045887
spinner$(0.1)$,0,0.107444
vortex$(1)$,0,0.259420
vortex$(1)$,0,0.164456
vortex$(1)$,0,0.125226
vortex$(1)$,0,0.088051
vortex$(1)$,0,0.140988
vortex$(1)$,0,0.114684
vortex$(1)$,0,0.086322
vortex$(1)$,0,0.648461
vortex$(1)$,0,0.673113
vortex$(1)$,0,0.678551
vortex$(1)$,0,0.614208
vortex$(1)$,0,0.711789
vortex$(1)$,0,0.691749
vortex$(1)$,0,0.690731
vortex$(1)$,0,0.715028
vortex$(1)$,0,0.682471
vortex$(1)$,0,0.703928
vortex$(1)$,0,0.675970
vortex$(1)$,0,0.683570
vortex$(1)$,0,0.669131
vortex$(1)$,0,0.687043
vortex$(1)$,0,0.716821
vortex$(1)$,0,0.682710
vortex$(1)$,0,0.683120
vortex$(1)$,0,0.708972
vortex$(1)$,0,0.698511
vortex$(1)$,0,0.684658
vortex$(1)$,0,0.690484
vortex$(1)$,0,0.688908
vortex$(1)$,0,0.703975
vortex$(1)$,0,0.696048
vortex$(1)$,0,0.688378
vortex$(1)$,0,0.680960
vortex$(1)$,0,0.678735
vortex$(1)$,0,0.699218
vortex$(1)$,0,0.687984
vortex$(1)$,0,0.705346
vortex$(1)$,0,0.689425
vortex$(4)$,0,0.468668
vortex$(4)$,0,0.600823
vortex$(4)$,0,0.599684
vortex$(4)$,0,0.601013
vortex$(4)$,0,0.596113
vortex$(4)$,0,0.645410
vortex$(4)$,0,0.532288
vortex$(4)$,0,0.573008
vortex$(4)$,0,0.626425
vortex$(4)$,0,0.524104
vortex$(4)$,0,0.599441
vortex$(4)$,0,0.616559
vortex$(4)$,0,0.599083
vortex$(4)$,0,0.494320
vortex$(4)$,0,0.539102
vortex$(4)$,0,0.490745
vortex$(4)$,0,0.518870
vortex$(4)$,0,0.600544
vortex$(4)$,0,0.354719
vortex$(4)$,0,0.595287
vortex$(4)$,0,0.642386
vortex$(4)$,0,0.600572
vortex$(4)$,0,0.649477
vortex$(4)$,0,0.534159
vortex$(4)$,0,0.663817
vortex$(4)$,0,0.529907
vortex$(4)$,0,0.387472
vortex$(4)$,0,0.610462
vortex$(4)$,0,0.544256
vortex$(4)$,0,0.505462
spinner$(0.1)$,-1,0.006153
spinner$(0.1)$,-1,0.052854
spinner$(0.1)$,-1,0.095022
spinner$(0.1)$,-1,0.164131
spinner$(0.1)$,-1,0.066879
spinner$(0.1)$,-1,0.064534
spinner$(0.1)$,-1,0.084077
spinner$(0.1)$,-1,0.068932
spinner$(0.1)$,-1,0.114902
spinner$(0.1)$,-1,0.008361
spinner$(0.1)$,-1,0.117609
spinner$(0.1)$,-1,0.051119
spinner$(0.1)$,-1,0.051545
spinner$(0.1)$,-1,0.034709
spinner$(0.1)$,-1,0.079775
spinner$(0.1)$,-1,0.085608
spinner$(0.1)$,-1,0.081875
spinner$(0.1)$,-1,0.118472
spinner$(0.1)$,-1,0.022117
spinner$(0.1)$,-1,0.041680
spinner$(0.1)$,-1,0.035337
spinner$(0.1)$,-1,0.107615
spinner$(0.1)$,-1,0.032837
spinner$(0.1)$,-1,0.076819
spinner$(0.1)$,-1,0.086126
spinner$(0.1)$,-1,0.067124
spinner$(0.1)$,-1,0.029440
spinner$(0.1)$,-1,0.065672
spinner$(0.1)$,-1,0.081159
spinner$(0.1)$,-1,0.144699
vortex$(1)$,-1,0.549873
vortex$(1)$,-1,0.563525
vortex$(1)$,-1,0.563055
vortex$(1)$,-1,0.599501
vortex$(1)$,-1,0.643381
vortex$(1)$,-1,0.699105
vortex$(1)$,-1,0.537954
vortex$(1)$,-1,0.557550
vortex$(1)$,-1,0.586232
vortex$(1)$,-1,0.594683
vortex$(1)$,-1,0.628605
vortex$(1)$,-1,0.661406
vortex$(1)$,-1,0.558267
vortex$(1)$,-1,0.579287
vortex$(1)$,-1,0.575110
vortex$(1)$,-1,0.606949
vortex$(1)$,-1,0.644234
vortex$(1)$,-1,0.425339
vortex$(1)$,-1,0.581862
vortex$(1)$,-1,0.605546
vortex$(1)$,-1,0.620469
vortex$(1)$,-1,0.652909
vortex$(1)$,-1,0.734340
vortex$(1)$,-1,0.183200
vortex$(1)$,-1,0.194251
vortex$(1)$,-1,0.012787
vortex$(1)$,-1,0.590466
vortex$(1)$,-1,0.580493
vortex$(1)$,-1,0.617885
vortex$(1)$,-1,0.676619
vortex$(1)$,-1,0.726816
vortex$(1)$,-1,0.471218
vortex$(1)$,-1,0.010570
vortex$(4)$,-1,0.417290
vortex$(4)$,-1,0.350096
vortex$(4)$,-1,0.351305
vortex$(4)$,-1,0.334547
vortex$(4)$,-1,0.312688
vortex$(4)$,-1,0.333211
vortex$(4)$,-1,0.311899
vortex$(4)$,-1,0.282476
vortex$(4)$,-1,0.312712
vortex$(4)$,-1,0.284770
vortex$(4)$,-1,0.257085
vortex$(4)$,-1,0.243348
vortex$(4)$,-1,0.263371
vortex$(4)$,-1,0.378989
vortex$(4)$,-1,0.303813
vortex$(4)$,-1,0.352821
vortex$(4)$,-1,0.258987
vortex$(4)$,-1,0.372643
vortex$(4)$,-1,0.096297
vortex$(4)$,-1,0.052152
vortex$(4)$,-1,0.110241
vortex$(4)$,-1,0.037780
vortex$(4)$,-1,0.016577
vortex$(4)$,-1,0.064225
vortex$(4)$,-1,0.266814
vortex$(4)$,-1,0.265205
vortex$(4)$,-1,0.252422
vortex$(4)$,-1,0.293948
vortex$(4)$,-1,0.320763
vortex$(4)$,-1,0.296309
rotary$(10)$,-1,0.040943
rotary$(10)$,-1,0.017044
rotary$(10)$,-1,0.006293
rotary$(10)$,-1,0.020462
rotary$(10)$,-1,0.002104
rotary$(10)$,-1,0.001770
rotary$(10)$,-1,0.031196
rotary$(10)$,-1,0.020313
rotary$(10)$,-1,0.022988
rotary$(10)$,-1,0.014230
rotary$(10)$,-1,0.004327
rotary$(10)$,-1,0.000786
rotary$(10)$,-1,0.026258
rotary$(10)$,-1,0.006587
rotary$(10)$,-1,0.013017
rotary$(10)$,-1,0.004587
rotary$(10)$,-1,0.058012
rotary$(10)$,-1,0.002106
rotary$(10)$,-1,0.068957
rotary$(10)$,-1,0.055582
rotary$(10)$,-1,0.049979
rotary$(10)$,-1,0.024302
rotary$(10)$,-1,0.001403
rotary$(10)$,-1,0.061598
rotary$(10)$,-1,0.032456
rotary$(10)$,-1,0.040492
rotary$(10)$,-1,0.012033
rotary$(10)$,-1,0.051590
rotary$(10)$,-1,0.006031
rotary$(10)$,-1,0.008883
rotary$(20)$,-1,0.012220
rotary$(20)$,-1,0.013438
rotary$(20)$,-1,0.003524
rotary$(20)$,-1,0.007268
rotary$(20)$,-1,0.017720
rotary$(20)$,-1,0.005498
rotary$(20)$,-1,0.015765
rotary$(20)$,-1,0.046635
rotary$(20)$,-1,0.004050
rotary$(20)$,-1,0.021718
rotary$(20)$,-1,0.008228
rotary$(20)$,-1,0.007493
rotary$(20)$,-1,0.032242
rotary$(20)$,-1,0.009129
rotary$(20)$,-1,0.029243
rotary$(20)$,-1,0.006366
rotary$(20)$,-1,0.002962
rotary$(20)$,-1,0.019185
rotary$(20)$,-1,0.010728
rotary$(20)$,-1,0.008089
rotary$(20)$,-1,0.031099
rotary$(20)$,-1,0.019316
rotary$(20)$,-1,0.018404
rotary$(20)$,-1,0.003772
rotary$(20)$,-1,0.009609
rotary$(20)$,-1,0.002956
rotary$(20)$,-1,0.000886
rotary$(20)$,-1,0.015285
rotary$(20)$,-1,0.015690
rotary$(20)$,-1,0.000236
spinner$(0.1)$,0.707,0.106216
spinner$(0.1)$,0.707,0.054305
spinner$(0.1)$,0.707,0.111978
spinner$(0.1)$,0.707,0.105141
spinner$(0.1)$,0.707,0.076989
spinner$(0.1)$,0.707,0.142658
spinner$(0.1)$,0.707,0.135073
spinner$(0.1)$,0.707,0.086222
spinner$(0.1)$,0.707,0.094097
spinner$(0.1)$,0.707,0.104053
spinner$(0.1)$,0.707,0.120263
spinner$(0.1)$,0.707,0.157692
spinner$(0.1)$,0.707,0.097335
spinner$(0.1)$,0.707,0.157751
spinner$(0.1)$,0.707,0.174187
spinner$(0.1)$,0.707,0.109977
spinner$(0.1)$,0.707,0.174129
spinner$(0.1)$,0.707,0.054047
spinner$(0.1)$,0.707,0.089546
spinner$(0.1)$,0.707,0.107923
spinner$(0.1)$,0.707,0.189861
spinner$(0.1)$,0.707,0.093372
spinner$(0.1)$,0.707,0.077513
spinner$(0.1)$,0.707,0.161207
spinner$(0.1)$,0.707,0.031549
spinner$(0.1)$,0.707,0.104153
spinner$(0.1)$,0.707,0.095553
spinner$(0.1)$,0.707,0.069319
spinner$(0.1)$,0.707,0.140266
spinner$(0.1)$,0.707,0.016150
rotary$(10)$,0.707,0.050061
rotary$(10)$,0.707,0.043855
rotary$(10)$,0.707,0.024299
rotary$(10)$,0.707,0.047167
rotary$(10)$,0.707,0.004378
rotary$(10)$,0.707,0.132232
rotary$(10)$,0.707,0.046030
rotary$(10)$,0.707,0.027304
rotary$(10)$,0.707,0.052931
rotary$(10)$,0.707,0.011941
rotary$(10)$,0.707,0.036106
rotary$(10)$,0.707,0.107523
rotary$(10)$,0.707,0.008914
rotary$(10)$,0.707,0.008547
rotary$(10)$,0.707,0.067915
rotary$(10)$,0.707,0.058043
rotary$(10)$,0.707,0.329439
rotary$(10)$,0.707,0.089677
rotary$(10)$,0.707,0.066301
rotary$(10)$,0.707,0.015980
rotary$(10)$,0.707,0.052210
rotary$(10)$,0.707,0.088215
rotary$(10)$,0.707,0.167531
rotary$(10)$,0.707,0.045490
rotary$(10)$,0.707,0.051449
rotary$(10)$,0.707,0.036747
rotary$(10)$,0.707,0.064512
rotary$(10)$,0.707,0.061886
rotary$(10)$,0.707,0.008517
rotary$(10)$,0.707,0.094797
rotary$(20)$,0.707,0.004289
rotary$(20)$,0.707,0.023453
rotary$(20)$,0.707,0.011885
rotary$(20)$,0.707,0.003572
rotary$(20)$,0.707,0.034295
rotary$(20)$,0.707,0.028943
rotary$(20)$,0.707,0.036361
rotary$(20)$,0.707,0.028821
rotary$(20)$,0.707,0.006736
rotary$(20)$,0.707,0.033319
rotary$(20)$,0.707,0.002577
rotary$(20)$,0.707,0.000880
rotary$(20)$,0.707,0.033543
rotary$(20)$,0.707,0.033580
rotary$(20)$,0.707,0.039890
rotary$(20)$,0.707,0.010494
rotary$(20)$,0.707,0.016356
rotary$(20)$,0.707,0.028146
rotary$(20)$,0.707,0.024149
rotary$(20)$,0.707,0.015177
rotary$(20)$,0.707,0.057488
rotary$(20)$,0.707,0.041564
rotary$(20)$,0.707,0.014832
rotary$(20)$,0.707,0.011465
rotary$(20)$,0.707,0.023220
rotary$(20)$,0.707,0.012082
rotary$(20)$,0.707,0.001335
rotary$(20)$,0.707,0.014897
rotary$(20)$,0.707,0.026272
rotary$(20)$,0.707,0.001381
