maneuverability_ratio,ct,av_rad
spinner$(0.1)$,0,9.891515
spinner$(0.1)$,0,9.966380
spinner$(0.1)$,0,10.071112
spinner$(0.1)$,0,10.345270
spinner$(0.1)$,0,10.212354
spinner$(0.1)$,0,10.320562
spinner$(0.1)$,0,10.296969
spinner$(0.1)$,0,9.850488
spinner$(0.1)$,0,9.870479
spinner$(0.1)$,0,9.966380
spinner$(0.1)$,0,9.942726
spinner$(0.1)$,0,9.940354
spinner$(0.1)$,0,9.930722
spinner$(0.1)$,0,9.862244
spinner$(0.1)$,0,9.828669
spinner$(0.1)$,0,9.958927
spinner$(0.1)$,0,9.905200
spinner$(0.1)$,0,9.815685
spinner$(0.1)$,0,9.853919
spinner$(0.1)$,0,9.807037
spinner$(0.1)$,0,9.824802
spinner$(0.1)$,0,9.831986
spinner$(0.1)$,0,9.822639
spinner$(0.1)$,0,9.880684
spinner$(0.1)$,0,9.872834
spinner$(0.1)$,0,9.814060
spinner$(0.1)$,0,9.877369
spinner$(0.1)$,0,9.909325
spinner$(0.1)$,0,9.836900
spinner$(0.1)$,0,9.797890
spinner$(0.1)$,0,9.852818
spinner$(0.1)$,0,9.810497
spinner$(0.1)$,0,9.868074
spinner$(0.1)$,0,9.890095
spinner$(0.1)$,0,9.863801
vortex$(1)$,0,3.986008
vortex$(1)$,0,4.054170
vortex$(1)$,0,3.991002
vortex$(1)$,0,3.994960
vortex$(1)$,0,4.006609
vortex$(1)$,0,4.018394
vortex$(1)$,0,4.001351
vortex$(1)$,0,9.435736
vortex$(1)$,0,9.624160
vortex$(1)$,0,9.362229
vortex$(1)$,0,9.046480
vortex$(1)$,0,9.726081
vortex$(1)$,0,9.303545
vortex$(1)$,0,9.385094
vortex$(1)$,0,14.881318
vortex$(1)$,0,14.430222
vortex$(1)$,0,14.728731
vortex$(1)$,0,14.989073
vortex$(1)$,0,14.708361
vortex$(1)$,0,14.731233
vortex$(1)$,0,14.550039
vortex$(1)$,0,15.201909
vortex$(1)$,0,15.639151
vortex$(1)$,0,15.872047
vortex$(1)$,0,14.256378
vortex$(1)$,0,14.870805
vortex$(1)$,0,14.395695
vortex$(1)$,0,14.718564
vortex$(1)$,0,15.048692
vortex$(1)$,0,15.392107
vortex$(1)$,0,15.959818
vortex$(1)$,0,16.161803
vortex$(1)$,0,14.704345
vortex$(1)$,0,14.903620
vortex$(1)$,0,14.279357
vortex$(1)$,0,14.794417
vortex$(1)$,0,14.587454
vortex$(1)$,0,14.619770
vortex$(4)$,0,9.628892
vortex$(4)$,0,9.659592
vortex$(4)$,0,9.645564
vortex$(4)$,0,9.682170
vortex$(4)$,0,9.651630
vortex$(4)$,0,9.678754
vortex$(4)$,0,9.645515
vortex$(4)$,0,9.643944
vortex$(4)$,0,9.662667
vortex$(4)$,0,9.637241
vortex$(4)$,0,9.655698
vortex$(4)$,0,9.697366
vortex$(4)$,0,9.649442
vortex$(4)$,0,9.668412
vortex$(4)$,0,9.658116
vortex$(4)$,0,9.655256
vortex$(4)$,0,9.671170
vortex$(4)$,0,9.672568
vortex$(4)$,0,23.002485
vortex$(4)$,0,9.665108
vortex$(4)$,0,9.661256
vortex$(4)$,0,9.660292
vortex$(4)$,0,9.659847
vortex$(4)$,0,9.662400
vortex$(4)$,0,9.682322
vortex$(4)$,0,9.626955
vortex$(4)$,0,9.590784
vortex$(4)$,0,9.653986
vortex$(4)$,0,9.650863
vortex$(4)$,0,9.667756
spinner$(0.1)$,-1,9.836223
spinner$(0.1)$,-1,9.795889
spinner$(0.1)$,-1,9.835672
spinner$(0.1)$,-1,9.811394
spinner$(0.1)$,-1,9.802339
spinner$(0.1)$,-1,9.765364
spinner$(0.1)$,-1,9.775793
spinner$(0.1)$,-1,9.784656
spinner$(0.1)$,-1,9.781389
spinner$(0.1)$,-1,9.786977
spinner$(0.1)$,-1,9.756563
spinner$(0.1)$,-1,9.811595
spinner$(0.1)$,-1,9.785734
spinner$(0.1)$,-1,9.810762
spinner$(0.1)$,-1,9.769700
spinner$(0.1)$,-1,9.782525
spinner$(0.1)$,-1,9.815232
spinner$(0.1)$,-1,9.772124
spinner$(0.1)$,-1,9.835086
spinner$(0.1)$,-1,9.825184
spinner$(0.1)$,-1,9.812693
spinner$(0.1)$,-1,9.778317
spinner$(0.1)$,-1,9.745058
spinner$(0.1)$,-1,9.778074
spinner$(0.1)$,-1,9.790757
spinner$(0.1)$,-1,9.769160
spinner$(0.1)$,-1,9.761487
spinner$(0.1)$,-1,9.807765
spinner$(0.1)$,-1,9.781734
spinner$(0.1)$,-1,9.770266
vortex$(1)$,-1,12.975109
vortex$(1)$,-1,15.145552
vortex$(1)$,-1,17.379696
vortex$(1)$,-1,21.174669
vortex$(1)$,-1,24.618657
vortex$(1)$,-1,30.062176
vortex$(1)$,-1,12.014075
vortex$(1)$,-1,14.566373
vortex$(1)$,-1,17.117260
vortex$(1)$,-1,19.518538
vortex$(1)$,-1,22.330578
vortex$(1)$,-1,26.170891
vortex$(1)$,-1,14.404536
vortex$(1)$,-1,16.582354
vortex$(1)$,-1,19.471199
vortex$(1)$,-1,22.500344
vortex$(1)$,-1,26.961096
vortex$(1)$,-1,29.977351
vortex$(1)$,-1,17.996791
vortex$(1)$,-1,20.915562
vortex$(1)$,-1,23.937229
vortex$(1)$,-1,29.481554
vortex$(1)$,-1,37.015890
vortex$(1)$,-1,14.818254
vortex$(1)$,-1,4.289468
vortex$(1)$,-1,3.291830
vortex$(1)$,-1,18.458894
vortex$(1)$,-1,21.034183
vortex$(1)$,-1,23.688803
vortex$(1)$,-1,29.032739
vortex$(1)$,-1,34.966812
vortex$(1)$,-1,9.688643
vortex$(1)$,-1,2.809864
vortex$(4)$,-1,9.591074
vortex$(4)$,-1,9.594684
vortex$(4)$,-1,9.588723
vortex$(4)$,-1,9.596246
vortex$(4)$,-1,9.576275
vortex$(4)$,-1,9.605111
vortex$(4)$,-1,9.567252
vortex$(4)$,-1,9.592766
vortex$(4)$,-1,9.577153
vortex$(4)$,-1,9.586952
vortex$(4)$,-1,9.585463
vortex$(4)$,-1,9.581309
vortex$(4)$,-1,9.572788
vortex$(4)$,-1,9.583959
vortex$(4)$,-1,9.597792
vortex$(4)$,-1,9.610592
vortex$(4)$,-1,9.586096
vortex$(4)$,-1,9.601083
vortex$(4)$,-1,9.977364
vortex$(4)$,-1,9.951857
vortex$(4)$,-1,10.020727
vortex$(4)$,-1,9.980489
vortex$(4)$,-1,9.904557
vortex$(4)$,-1,9.924671
vortex$(4)$,-1,9.656654
vortex$(4)$,-1,9.683219
vortex$(4)$,-1,9.782500
vortex$(4)$,-1,9.578334
vortex$(4)$,-1,9.581072
vortex$(4)$,-1,9.587125
rotary$(10)$,-1,10.075817
rotary$(10)$,-1,10.087119
rotary$(10)$,-1,10.031611
rotary$(10)$,-1,10.047963
rotary$(10)$,-1,10.061339
rotary$(10)$,-1,10.101668
rotary$(10)$,-1,10.061049
rotary$(10)$,-1,10.029772
rotary$(10)$,-1,10.140850
rotary$(10)$,-1,10.092310
rotary$(10)$,-1,10.046682
rotary$(10)$,-1,10.083129
rotary$(10)$,-1,10.123878
rotary$(10)$,-1,10.097924
rotary$(10)$,-1,10.116725
rotary$(10)$,-1,10.076579
rotary$(10)$,-1,10.039019
rotary$(10)$,-1,10.053566
rotary$(10)$,-1,10.036290
rotary$(10)$,-1,10.025764
rotary$(10)$,-1,10.028093
rotary$(10)$,-1,10.083172
rotary$(10)$,-1,10.053661
rotary$(10)$,-1,10.067977
rotary$(10)$,-1,10.063414
rotary$(10)$,-1,10.066424
rotary$(10)$,-1,10.146632
rotary$(10)$,-1,10.039297
rotary$(10)$,-1,10.092759
rotary$(10)$,-1,10.047460
rotary$(20)$,-1,10.263114
rotary$(20)$,-1,10.252002
rotary$(20)$,-1,10.286915
rotary$(20)$,-1,10.291570
rotary$(20)$,-1,10.239704
rotary$(20)$,-1,10.261964
rotary$(20)$,-1,10.283321
rotary$(20)$,-1,10.267668
rotary$(20)$,-1,10.286353
rotary$(20)$,-1,10.304743
rotary$(20)$,-1,10.305365
rotary$(20)$,-1,10.267265
rotary$(20)$,-1,10.214085
rotary$(20)$,-1,10.257706
rotary$(20)$,-1,10.291753
rotary$(20)$,-1,10.235283
rotary$(20)$,-1,10.259959
rotary$(20)$,-1,10.265856
rotary$(20)$,-1,10.240053
rotary$(20)$,-1,10.296994
rotary$(20)$,-1,10.276076
rotary$(20)$,-1,10.290938
rotary$(20)$,-1,10.280365
rotary$(20)$,-1,10.248310
rotary$(20)$,-1,10.270615
rotary$(20)$,-1,10.284915
rotary$(20)$,-1,10.236826
rotary$(20)$,-1,10.283732
rotary$(20)$,-1,10.227673
rotary$(20)$,-1,10.244268
spinner$(0.1)$,0.707,10.525851
spinner$(0.1)$,0.707,10.578925
spinner$(0.1)$,0.707,11.184115
spinner$(0.1)$,0.707,10.990378
spinner$(0.1)$,0.707,10.755779
spinner$(0.1)$,0.707,10.971943
spinner$(0.1)$,0.707,10.653096
spinner$(0.1)$,0.707,11.482377
spinner$(0.1)$,0.707,11.188035
spinner$(0.1)$,0.707,10.793048
spinner$(0.1)$,0.707,11.398186
spinner$(0.1)$,0.707,11.295467
spinner$(0.1)$,0.707,10.737968
spinner$(0.1)$,0.707,10.436539
spinner$(0.1)$,0.707,10.604375
spinner$(0.1)$,0.707,10.603099
spinner$(0.1)$,0.707,10.475907
spinner$(0.1)$,0.707,11.079857
spinner$(0.1)$,0.707,10.851880
spinner$(0.1)$,0.707,10.943391
spinner$(0.1)$,0.707,10.699426
spinner$(0.1)$,0.707,10.576260
spinner$(0.1)$,0.707,11.385335
spinner$(0.1)$,0.707,10.755928
spinner$(0.1)$,0.707,11.014991
spinner$(0.1)$,0.707,11.027548
spinner$(0.1)$,0.707,10.892572
spinner$(0.1)$,0.707,10.717152
spinner$(0.1)$,0.707,10.597289
spinner$(0.1)$,0.707,10.643881
rotary$(10)$,0.707,10.515798
rotary$(10)$,0.707,10.491403
rotary$(10)$,0.707,10.460806
rotary$(10)$,0.707,10.449393
rotary$(10)$,0.707,10.437164
rotary$(10)$,0.707,10.521511
rotary$(10)$,0.707,12.390812
rotary$(10)$,0.707,11.370520
rotary$(10)$,0.707,11.613822
rotary$(10)$,0.707,12.604831
rotary$(10)$,0.707,12.623636
rotary$(10)$,0.707,11.744847
rotary$(10)$,0.707,11.791752
rotary$(10)$,0.707,11.906032
rotary$(10)$,0.707,13.608893
rotary$(10)$,0.707,14.824214
rotary$(10)$,0.707,18.262189
rotary$(10)$,0.707,11.870805
rotary$(10)$,0.707,11.595231
rotary$(10)$,0.707,15.700248
rotary$(10)$,0.707,12.351477
rotary$(10)$,0.707,18.104788
rotary$(10)$,0.707,16.203086
rotary$(10)$,0.707,15.112810
rotary$(10)$,0.707,10.481734
rotary$(10)$,0.707,10.471123
rotary$(10)$,0.707,10.567893
rotary$(10)$,0.707,10.566926
rotary$(10)$,0.707,10.486217
rotary$(10)$,0.707,10.437326
rotary$(20)$,0.707,10.823163
rotary$(20)$,0.707,10.858826
rotary$(20)$,0.707,10.868872
rotary$(20)$,0.707,10.720513
rotary$(20)$,0.707,10.806271
rotary$(20)$,0.707,10.661734
rotary$(20)$,0.707,10.751832
rotary$(20)$,0.707,10.760266
rotary$(20)$,0.707,10.812831
rotary$(20)$,0.707,10.828995
rotary$(20)$,0.707,10.832905
rotary$(20)$,0.707,10.806049
rotary$(20)$,0.707,10.800284
rotary$(20)$,0.707,10.908722
rotary$(20)$,0.707,10.765050
rotary$(20)$,0.707,10.824919
rotary$(20)$,0.707,10.787377
rotary$(20)$,0.707,10.828028
rotary$(20)$,0.707,10.796115
rotary$(20)$,0.707,10.772415
rotary$(20)$,0.707,10.754372
rotary$(20)$,0.707,10.801056
rotary$(20)$,0.707,10.808676
rotary$(20)$,0.707,10.900069
rotary$(20)$,0.707,10.813254
rotary$(20)$,0.707,10.814304
rotary$(20)$,0.707,10.868801
rotary$(20)$,0.707,10.801667
rotary$(20)$,0.707,10.878931
rotary$(20)$,0.707,10.771983
